Variable,Units,Description
financese.machine_rating,kW,
financese.tcc_per_kW,USD/kW,
financese.offset_tcc_per_kW,USD/kW,
financese.bos_per_kW,USD/kW,
financese.opex_per_kW,USD/kW/year,
financese.plant_aep_in,kW*h,
financese.turbine_aep,kW*h,
financese.wake_loss_factor,,
financese.fixed_charge_rate,,
financese.electricity_price,USD/kW/h,
financese.reserve_margin_price,USD/kW/year,
financese.capacity_credit,,
financese.benchmark_price,USD/kW/h,
financese.turbine_number,n/a,
orbit.site_depth,m,Site depth.
orbit.site_distance,km,Distance from site to installation port.
orbit.site_distance_to_landfall,km,Distance from site to landfall for export cable.
orbit.interconnection_distance,km,Distance from landfall to interconnection.
orbit.site_mean_windspeed,m/s,Mean windspeed of the site.
orbit.plant_turbine_spacing,,Turbine spacing in rotor diameters.
orbit.plant_row_spacing,,Row spacing in rotor diameters. Not used in ring layouts.
orbit.plant_substation_distance,km,Distance from first turbine in string to substation.
orbit.turbine_rating,MW,Rated capacity of a turbine.
orbit.turbine_rated_windspeed,m/s,Rated windspeed of the turbine.
orbit.turbine_capex,USD/kW,Turbine CAPEX
orbit.hub_height,m,Turbine hub height.
orbit.turbine_rotor_diameter,m,Turbine rotor diameter.
orbit.tower_mass,t,mass of the total tower.
orbit.tower_length,m,Total length of the tower.
orbit.tower_deck_space,m**2,Deck space required to transport the tower. Defaults to 0 in order to not be a constraint on installation.
orbit.nacelle_mass,t,mass of the rotor nacelle assembly (RNA).
orbit.nacelle_deck_space,m**2,Deck space required to transport the rotor nacelle assembly (RNA). Defaults to 0 in order to not be a constraint on installation.
orbit.blade_mass,t,mass of an individual blade.
orbit.blade_deck_space,m**2,Deck space required to transport a blade. Defaults to 0 in order to not be a constraint on installation.
orbit.mooring_line_mass,kg,Total mass of a mooring line
orbit.mooring_line_diameter,m,Cross-sectional diameter of a mooring line
orbit.mooring_line_length,m,Unstretched mooring line length
orbit.anchor_mass,kg,Total mass of an anchor
orbit.mooring_line_cost,USD,Mooring line unit cost.
orbit.mooring_anchor_cost,USD,Mooring line unit cost.
orbit.port_cost_per_month,USD/mo,Monthly port costs.
orbit.takt_time,h,Substructure assembly cycle time when doing assembly at the port.
orbit.floating_substructure_cost,USD,Floating substructure unit cost.
orbit.monopile_length,m,Length of monopile (including pile).
orbit.monopile_diameter,m,Diameter of monopile.
orbit.monopile_mass,t,mass of an individual monopile.
orbit.monopile_cost,USD,Monopile unit cost.
